total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,county,tract,year,dataset,fetched_date
1870,1016,854,,115,1466,0,279,838,789,49,413800,1520,49347,27192,393,1149,1149,960,189,148,50,28,926,284,905,Census Tract 35; Westchester County; New York,36,119,003500,2022,acs/acs5,2025-10-13T11:21:08.326539
3952,1900,2052,,682,1639,66,1436,1963,1933,30,460500,1298,42014,37065,685,2094,2094,1855,239,424,222,18,1855,442,1748,Census Tract 36; Westchester County; New York,36,119,003600,2022,acs/acs5,2025-10-13T11:21:08.326549
3660,1662,1998,,1152,1360,183,935,1728,1597,131,356800,1572,92596,43365,644,1976,1976,1907,69,430,221,60,1815,294,1608,Census Tract 37; Westchester County; New York,36,119,003700,2022,acs/acs5,2025-10-13T11:21:08.326559
3757,1489,2268,,1612,1133,247,430,2114,2071,43,226600,1624,79875,60011,237,2538,2538,2469,69,948,452,15,2469,959,2193,Census Tract 38; Westchester County; New York,36,119,003800,2022,acs/acs5,2025-10-13T11:21:08.326568
3530,1785,1745,,1521,666,165,1124,1348,1301,47,549300,1876,94144,41380,253,2060,2060,1892,168,683,305,18,1758,288,1504,Census Tract 39; Westchester County; New York,36,119,003900,2022,acs/acs5,2025-10-13T11:21:08.326578
3908,1697,2211,,755,2136,53,677,1828,1805,23,,1421,63527,37992,850,2187,2147,1870,277,415,112,34,1857,431,1762,Census Tract 40.01; Westchester County; New York,36,119,004001,2022,acs/acs5,2025-10-13T11:21:08.326587
2655,1072,1583,,287,1487,1,506,1197,1082,115,,1548,90947,46337,205,1640,1640,1589,51,383,343,212,1589,440,1147,Census Tract 40.02; Westchester County; New York,36,119,004002,2022,acs/acs5,2025-10-13T11:21:08.326597
4169,1719,2450,,468,3196,40,648,1671,1625,46,255100,1617,107517,47693,413,2517,2517,2421,96,683,440,94,2265,550,2147,Census Tract 41; Westchester County; New York,36,119,004100,2022,acs/acs5,2025-10-13T11:21:08.326606
4848,2114,2734,,1233,3022,106,309,2227,2180,47,270400,1399,81132,58179,435,2957,2957,2516,441,1036,753,40,2441,841,2293,Census Tract 42; Westchester County; New York,36,119,004200,2022,acs/acs5,2025-10-13T11:21:08.326615
1751,852,899,,582,764,45,530,876,847,29,525700,2145,109732,60979,111,1031,1031,1022,9,397,329,55,997,359,869,Census Tract 45; Westchester County; New York,36,119,004500,2022,acs/acs5,2025-10-13T11:21:08.326625
3143,1476,1667,,2495,11,362,250,1482,1310,172,825500,3383,150313,96364,345,1591,1591,1530,61,851,420,29,1461,485,1120,Census Tract 46; Westchester County; New York,36,119,004600,2022,acs/acs5,2025-10-13T11:21:08.326635
3427,1665,1762,,3084,28,81,230,889,847,42,2000001,3501,250001,175378,69,1283,1283,1244,39,575,506,79,1215,537,1001,Census Tract 47; Westchester County; New York,36,119,004700,2022,acs/acs5,2025-10-13T11:21:08.326644
2986,1268,1718,,2051,169,396,276,1655,1593,62,448200,2393,119141,96448,193,1474,1474,1451,23,686,687,40,1426,378,998,Census Tract 48.01; Westchester County; New York,36,119,004801,2022,acs/acs5,2025-10-13T11:21:08.326654
4009,1893,2116,,2002,207,742,1105,1620,1580,40,670300,1475,106694,59234,353,2444,2444,2380,64,908,634,63,2371,535,1889,Census Tract 48.02; Westchester County; New York,36,119,004802,2022,acs/acs5,2025-10-13T11:21:08.326663
3005,1313,1692,,2154,85,551,131,1711,1606,105,288700,3467,117870,87720,126,1511,1511,1484,27,1007,654,63,1456,399,1231,Census Tract 49; Westchester County; New York,36,119,004900,2022,acs/acs5,2025-10-13T11:21:08.326673
4235,2093,2142,,3051,32,431,615,1465,1459,6,835200,2332,164969,77718,210,2378,2378,2284,94,982,494,66,2238,540,1941,Census Tract 50.01; Westchester County; New York,36,119,005001,2022,acs/acs5,2025-10-13T11:21:08.326683
4251,1865,2386,,3438,1,646,284,1608,1479,129,858900,2352,215893,82112,156,2134,2134,2107,27,1159,507,119,2066,283,1725,Census Tract 50.02; Westchester County; New York,36,119,005002,2022,acs/acs5,2025-10-13T11:21:08.326692
4466,2158,2308,,3393,108,656,363,1846,1750,96,698200,1877,99615,58459,210,1982,1982,1908,74,747,556,68,1885,276,1740,Census Tract 51; Westchester County; New York,36,119,005100,2022,acs/acs5,2025-10-13T11:21:08.326702
4676,2388,2288,,4225,13,156,170,1578,1527,51,892900,3411,244236,99739,133,2361,2361,2249,112,1178,871,24,2238,408,1887,Census Tract 52; Westchester County; New York,36,119,005200,2022,acs/acs5,2025-10-13T11:21:08.326711
5390,2803,2587,,3649,474,412,925,1791,1708,83,764200,2317,153800,68467,183,2881,2881,2699,182,974,747,77,2637,547,2131,Census Tract 53; Westchester County; New York,36,119,005300,2022,acs/acs5,2025-10-13T11:21:08.326721
1871,995,876,,1429,72,91,97,536,536,0,1397000,1808,250001,126847,57,920,920,868,52,386,294,18,861,333,609,Census Tract 54; Westchester County; New York,36,119,005400,2022,acs/acs5,2025-10-13T11:21:08.326730
5682,2729,2953,,4486,393,391,446,1984,1977,7,1029800,1897,250001,128831,89,2726,2726,2583,143,1247,1061,164,2565,702,1947,Census Tract 55; Westchester County; New York,36,119,005500,2022,acs/acs5,2025-10-13T11:21:08.326740
0,0,0,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Census Tract 56; Westchester County; New York,36,119,005600,2022,acs/acs5,2025-10-13T11:21:08.326750
3897,1861,2036,,1561,895,295,1327,1466,1438,28,256600,1720,69576,42731,522,1899,1899,1654,245,472,589,10,1617,229,1353,Census Tract 57.02; Westchester County; New York,36,119,005702,2022,acs/acs5,2025-10-13T11:21:08.326760
3340,1209,2131,,2497,144,351,568,1445,1416,29,372200,1999,74844,75330,321,1699,1699,1475,224,844,316,48,1409,47,1230,Census Tract 57.03; Westchester County; New York,36,119,005703,2022,acs/acs5,2025-10-13T11:21:08.326770
