total_population,male_population,female_population,median_age,white_alone,black_alone,asian_alone,hispanic_or_latino,total_housing_units,occupied_housing_units,vacant_housing_units,median_home_value,median_gross_rent,median_household_income,per_capita_income,poverty_count,in_labor_force,civilian_labor_force,employed,unemployed,bachelors_degree,masters_degree,doctorate_degree,total_commuters,public_transit_commuters,mean_travel_time_to_work,location_name,state,place,year,dataset,fetched_date
21845,10606,11239,,20075,244,93,1988,7557,7358,199,644300,2635,170151,68572,683,11994,11994,11449,545,4154,2932,255,11295,1374,9885,"Massapequa CDP, New York",36,45986,2022,acs/acs5,2025-10-13T11:21:10.432173
17045,8506,8539,,15482,100,396,815,6003,5837,166,615600,,161193,61507,688,9043,9043,8599,444,3413,2342,58,8495,749,7502,"Massapequa Park village, New York",36,45997,2022,acs/acs5,2025-10-13T11:21:10.432184
10218,4695,5523,,9652,38,54,133,5328,4845,483,94900,674,48161,31452,2131,4688,4688,4372,316,1060,711,19,4255,10,4095,"Massena village, New York",36,46019,2022,acs/acs5,2025-10-13T11:21:10.432194
14968,7688,7280,,12033,883,165,3661,4650,4334,316,319800,1859,96648,35839,1762,7552,7520,6853,667,1123,474,97,6758,80,6533,"Mastic CDP, New York",36,46074,2022,acs/acs5,2025-10-13T11:21:10.432205
16189,7152,9037,,12829,1526,259,2858,5706,5189,517,304200,2129,103099,37060,2649,7756,7731,7289,442,1257,460,36,7182,171,6773,"Mastic Beach CDP, New York",36,46085,2022,acs/acs5,2025-10-13T11:21:10.432216
806,397,409,,679,7,79,51,300,254,46,2000001,,233333,126056,68,338,338,334,4,256,77,33,330,34,229,"Matinecock village, New York",36,46107,2022,acs/acs5,2025-10-13T11:21:10.432230
4800,2310,2490,,4701,1,0,546,2657,1963,694,670000,1488,106813,55569,131,2413,2413,2215,198,1021,601,80,2144,34,1922,"Mattituck CDP, New York",36,46140,2022,acs/acs5,2025-10-13T11:21:10.432239
5825,2588,3237,,4605,98,403,384,2520,2352,168,106400,1122,69824,31391,535,3348,3309,3118,191,531,68,0,3145,18,2900,"Mattydale CDP, New York",36,46151,2022,acs/acs5,2025-10-13T11:21:10.432249
3135,1417,1718,,2144,311,0,847,1462,1336,126,228700,1542,90111,44685,221,1719,1719,1647,72,284,116,21,1630,18,1504,"Maybrook village, New York",36,46162,2022,acs/acs5,2025-10-13T11:21:10.432259
938,471,467,,895,0,0,48,438,359,79,139500,952,64531,34222,152,463,463,445,18,77,18,0,437,0,420,"Mayfield village, New York",36,46206,2022,acs/acs5,2025-10-13T11:21:10.432309
1355,725,630,,1189,45,0,75,787,583,204,149100,677,70250,33605,129,521,521,481,40,178,130,9,481,4,461,"Mayville village, New York",36,46239,2022,acs/acs5,2025-10-13T11:21:10.432320
8620,4154,4466,,3807,2286,310,2670,3677,3497,180,245600,1465,80796,33780,1347,3896,3876,3395,481,784,265,57,3390,87,3217,"Mechanicstown CDP, New York",36,46349,2022,acs/acs5,2025-10-13T11:21:10.432330
5177,2741,2436,,4641,0,132,144,2901,2604,297,176900,956,45686,30798,1070,2897,2869,2683,186,419,263,20,2614,9,2534,"Mechanicville city, New York",36,46360,2022,acs/acs5,2025-10-13T11:21:10.432343
24738,12455,12283,,17620,1414,860,6759,8230,8069,161,408900,2215,115063,43764,1282,12281,12236,11502,734,2978,1520,104,11318,635,10662,"Medford CDP, New York",36,46404,2022,acs/acs5,2025-10-13T11:21:10.432356
5827,3023,2804,,5060,68,89,342,2725,2509,216,96500,854,56782,27191,805,2678,2678,2523,155,632,241,24,2523,0,2318,"Medina village, New York",36,46415,2022,acs/acs5,2025-10-13T11:21:10.432366
1997,921,1076,,1944,4,0,41,850,830,20,206900,,123476,60630,74,1144,1144,1116,28,301,340,15,1106,0,1031,"Melrose Park CDP, New York",36,46503,2022,acs/acs5,2025-10-13T11:21:10.432377
18526,8362,10164,,16350,233,847,704,7456,7178,278,737100,2877,146302,85127,740,10039,10039,9207,832,4341,3162,203,9122,947,7848,"Melville CDP, New York",36,46514,2022,acs/acs5,2025-10-13T11:21:10.432387
4512,2344,2168,,2588,972,559,79,2308,2214,94,259100,1335,73000,39801,270,2540,2540,2460,80,1047,475,89,2460,95,2228,"Menands village, New York",36,46536,2022,acs/acs5,2025-10-13T11:21:10.432396
206,87,119,,196,0,0,4,98,92,6,131600,542,80500,39686,13,129,129,128,1,17,7,0,114,0,103,"Meridian village, New York",36,46646,2022,acs/acs5,2025-10-13T11:21:10.432407
21004,10845,10159,,18377,304,868,1876,7259,7081,178,686400,2651,185368,71089,340,11261,11261,10906,355,5153,2857,332,10697,1762,8688,"Merrick CDP, New York",36,46668,2022,acs/acs5,2025-10-13T11:21:10.432419
1879,953,926,,1315,98,359,128,831,747,84,440400,3501,120972,60622,86,1014,985,965,20,307,228,15,994,67,911,"Merritt Park CDP, New York",36,46750,2022,acs/acs5,2025-10-13T11:21:10.432429
1925,876,1049,,1832,11,10,2,921,860,61,140000,783,70625,37077,173,980,980,959,21,180,83,6,861,3,827,"Mexico village, New York",36,46811,2022,acs/acs5,2025-10-13T11:21:10.432438
1211,610,601,,1109,52,0,18,756,674,82,166300,789,48393,43225,189,681,681,670,11,102,84,4,640,0,585,"Middleburgh village, New York",36,46866,2022,acs/acs5,2025-10-13T11:21:10.432448
10731,4918,5813,,9136,802,126,1431,4815,4537,278,322700,1774,85673,45439,1124,5464,5461,5230,231,1478,892,164,5087,48,4667,"Middle Island CDP, New York",36,46976,2022,acs/acs5,2025-10-13T11:21:10.432457
1972,965,1007,,1837,19,3,31,828,754,74,105900,722,59773,27377,256,969,969,910,59,174,106,5,882,0,829,"Middleport village, New York",36,46998,2022,acs/acs5,2025-10-13T11:21:10.432467
30169,15377,14792,,11547,7683,1211,12154,11101,10111,990,236900,1505,70155,31484,4490,14297,14285,13580,705,2186,1430,168,13201,587,12531,"Middletown city, New York",36,47042,2022,acs/acs5,2025-10-13T11:21:10.432476
622,301,321,,607,5,0,3,221,203,18,132400,1050,76458,24440,39,256,256,239,17,27,23,4,237,0,222,"Middleville village, New York",36,47108,2022,acs/acs5,2025-10-13T11:21:10.432486
462,219,243,,432,10,0,31,257,195,62,125000,722,50938,33408,57,235,235,230,5,54,34,2,230,0,200,"Milford village, New York",36,47229,2022,acs/acs5,2025-10-13T11:21:10.432497
1382,656,726,,1206,52,66,45,868,738,130,369300,981,71477,56525,166,670,670,670,0,179,197,32,654,31,584,"Millbrook village, New York",36,47273,2022,acs/acs5,2025-10-13T11:21:10.432507
11848,5547,6301,,10299,85,345,1406,4295,3937,358,546200,1225,136203,53127,738,5250,5250,4849,401,1747,1303,271,4781,78,4250,"Miller Place CDP, New York",36,47306,2022,acs/acs5,2025-10-13T11:21:10.432517
862,425,437,,509,42,36,257,373,322,51,241700,1195,78953,38253,25,505,505,491,14,82,63,7,456,3,382,"Millerton village, New York",36,47361,2022,acs/acs5,2025-10-13T11:21:10.432527
1108,577,531,,973,0,70,211,443,398,45,1491900,3333,250001,145188,35,522,522,498,24,252,178,40,498,21,444,"Mill Neck village, New York",36,47405,2022,acs/acs5,2025-10-13T11:21:10.432624
425,217,208,,406,0,2,0,172,159,13,89400,1354,42344,23340,37,159,159,139,20,14,9,0,135,0,123,"Millport village, New York",36,47427,2022,acs/acs5,2025-10-13T11:21:10.432641
696,232,464,,467,0,203,56,334,282,52,775200,3501,182188,74597,0,409,409,409,0,169,183,0,409,42,354,"Millwood CDP, New York",36,47482,2022,acs/acs5,2025-10-13T11:21:10.432651
20940,10861,10079,,14004,299,3631,2624,8860,8427,433,595500,2197,130111,61837,1098,13091,13091,12605,486,4672,2679,370,12426,1848,10895,"Mineola village, New York",36,47636,2022,acs/acs5,2025-10-13T11:21:10.432682
1430,716,714,,1310,2,10,38,633,593,40,164000,792,83988,40169,113,720,715,628,87,219,183,13,610,5,567,"Minetto CDP, New York",36,47680,2022,acs/acs5,2025-10-13T11:21:10.432692
1246,593,653,,1140,57,0,42,583,488,95,128000,,56892,26767,175,574,574,574,0,135,3,0,518,0,488,"Mineville CDP, New York",36,47702,2022,acs/acs5,2025-10-13T11:21:10.432701
3652,2167,1485,,3171,0,66,343,1513,1445,68,157100,1063,82232,38245,155,1901,1901,1652,249,511,227,73,1652,0,1567,"Minoa village, New York",36,47757,2022,acs/acs5,2025-10-13T11:21:10.432711
2574,1213,1361,,2253,34,81,47,1112,974,138,108800,671,77574,32034,276,1212,1212,1183,29,318,67,0,1135,0,1050,"Mohawk village, New York",36,47823,2022,acs/acs5,2025-10-13T11:21:10.432721
212,67,145,,14,55,143,0,138,35,103,,,74489,21376,0,82,82,82,0,0,0,0,82,0,82,"Mongaup Valley CDP, New York",36,47977,2022,acs/acs5,2025-10-13T11:21:10.432731
9420,4561,4859,,6191,825,438,2761,2996,2860,136,377700,1627,115451,43669,652,5303,5303,5082,221,1724,600,26,5053,334,4653,"Monroe village, New York",36,47988,2022,acs/acs5,2025-10-13T11:21:10.432740
28287,14423,13864,,27118,582,77,242,5237,4844,393,831500,1708,49630,14062,12888,7213,7213,6622,591,639,416,87,6517,480,5730,"Monsey CDP, New York",36,48010,2022,acs/acs5,2025-10-13T11:21:10.432751
4322,2306,2016,,3983,32,1,210,4473,1580,2893,1071700,2532,138900,83843,124,2236,2230,2108,122,1009,489,8,2065,96,1641,"Montauk CDP, New York",36,48054,2022,acs/acs5,2025-10-13T11:21:10.432761
4645,2222,2423,,3734,154,240,271,1630,1560,70,702300,1881,144167,61032,508,2285,2276,2115,161,782,478,53,2124,183,1819,"Montebello village, New York",36,48090,2022,acs/acs5,2025-10-13T11:21:10.432771
3797,1756,2041,,2514,744,31,1077,1533,1471,62,343700,1418,89107,39378,560,1811,1792,1743,49,537,265,17,1737,82,1569,"Montgomery village, New York",36,48142,2022,acs/acs5,2025-10-13T11:21:10.432780
7224,3633,3591,,3436,1585,354,2739,3154,2570,584,138300,898,45531,26752,1820,3770,3770,3418,352,679,144,12,3352,42,3175,"Monticello village, New York",36,48175,2022,acs/acs5,2025-10-13T11:21:10.432790
1830,846,984,,1720,26,1,8,806,724,82,114300,610,33977,24880,384,672,672,603,69,156,80,5,591,0,522,"Montour Falls village, New York",36,48197,2022,acs/acs5,2025-10-13T11:21:10.432799
3728,1661,2067,,2741,160,31,847,1325,1219,106,402700,1424,121367,44552,358,2394,2394,1963,431,710,314,65,1928,249,1636,"Montrose CDP, New York",36,48208,2022,acs/acs5,2025-10-13T11:21:10.432809
524,342,182,,524,0,0,0,180,151,29,147400,,59886,20294,74,271,271,240,31,36,0,0,200,0,200,"Mooers CDP, New York",36,48241,2022,acs/acs5,2025-10-13T11:21:10.432820
1398,643,755,,1295,2,0,3,559,513,46,128500,725,57788,28084,166,610,610,574,36,126,42,0,558,0,546,"Moravia village, New York",36,48296,2022,acs/acs5,2025-10-13T11:21:10.432829
2626,1323,1303,,2325,164,0,266,1386,1269,117,421500,2149,78469,41845,372,1221,1221,1175,46,427,207,11,1136,50,1110,"Moriches CDP, New York",36,48450,2022,acs/acs5,2025-10-13T11:21:10.432839
492,237,255,,466,3,0,23,258,212,46,137800,694,77222,51908,38,222,222,218,4,29,83,49,218,0,175,"Morris village, New York",36,48483,2022,acs/acs5,2025-10-13T11:21:10.432848
1639,764,875,,1592,12,0,7,718,718,0,217900,1105,66419,38154,128,892,784,782,2,156,128,0,890,0,823,"Morrisonville CDP, New York",36,48538,2022,acs/acs5,2025-10-13T11:21:10.432858
1526,709,817,,1202,129,93,148,362,219,143,131400,917,53438,14787,43,561,561,542,19,74,24,10,472,7,385,"Morrisville village, New York",36,48593,2022,acs/acs5,2025-10-13T11:21:10.432868
260,141,119,,224,10,0,31,421,182,239,149000,1353,,42389,7,158,158,144,14,67,26,4,144,0,88,"Mountain Dale CDP, New York",36,48736,2022,acs/acs5,2025-10-13T11:21:10.432878
2083,1053,1030,,1914,0,30,867,880,779,101,210800,1649,59314,34807,235,1154,1154,1119,35,245,125,6,1114,413,1095,"Mountain Lodge Park CDP, New York",36,48750,2022,acs/acs5,2025-10-13T11:21:10.432887
7730,3866,3864,,3980,1232,354,2611,3254,3140,114,279200,1739,79756,47610,847,4100,4100,3819,281,1304,687,138,3712,143,3315,"Mount Ivy CDP, New York",36,48879,2022,acs/acs5,2025-10-13T11:21:10.432897
10835,5684,5151,,7281,649,287,3735,4495,4202,293,506400,1727,99444,48473,726,5742,5742,5461,281,1975,1471,209,5425,466,4595,"Mount Kisco village, New York",36,48890,2022,acs/acs5,2025-10-13T11:21:10.432908
3347,1716,1631,,2882,120,0,431,1572,1418,154,86500,757,59211,34994,492,1455,1443,1398,45,239,117,0,1410,0,1334,"Mount Morris village, New York",36,48945,2022,acs/acs5,2025-10-13T11:21:10.432917
11641,6082,5559,,10108,396,425,898,4018,3860,158,595400,3000,152586,59994,180,5629,5629,5285,344,2031,1452,191,5163,100,4530,"Mount Sinai CDP, New York",36,49066,2022,acs/acs5,2025-10-13T11:21:10.432927
72817,32451,40366,,12740,45467,1375,12538,30136,28778,1358,446400,1461,75511,40288,9985,39745,39696,36522,3174,10264,6016,706,35394,10404,32940,"Mount Vernon city, New York",36,49121,2022,acs/acs5,2025-10-13T11:21:10.432936
110,36,74,,92,8,0,3,102,54,48,,723,48750,33229,52,60,60,60,0,21,8,4,60,0,44,"Mount Vision CDP, New York",36,49143,2022,acs/acs5,2025-10-13T11:21:10.432946
402,184,218,,387,0,0,38,204,161,43,105600,808,70536,31600,20,224,224,219,5,47,12,0,212,0,202,"Munnsville village, New York",36,49220,2022,acs/acs5,2025-10-13T11:21:10.432956
2792,1321,1471,,2053,101,517,223,839,822,17,1866600,,250001,136144,143,1388,1388,1297,91,789,492,90,1284,387,870,"Munsey Park village, New York",36,49231,2022,acs/acs5,2025-10-13T11:21:10.432965
2680,1091,1589,,2326,78,26,110,1044,984,60,134700,850,64167,26148,248,1188,1158,1128,30,277,203,32,1158,3,944,"Munsons Corners CDP, New York",36,49242,2022,acs/acs5,2025-10-13T11:21:10.432976
3499,1822,1677,,2038,47,1163,183,1181,1133,48,1732800,,226477,112324,128,1715,1715,1592,123,846,362,76,1564,120,1254,"Muttontown village, New York",36,49330,2022,acs/acs5,2025-10-13T11:21:10.432987
10653,5409,5244,,8106,581,491,1674,4054,4044,10,361900,1193,109963,51181,497,6277,6277,6028,249,1627,1296,85,5830,166,4983,"Myers Corner CDP, New York",36,49363,2022,acs/acs5,2025-10-13T11:21:10.432996
20586,10251,10335,,10912,3082,2181,5060,7389,7021,368,455800,2245,114498,49479,1321,10550,10550,10229,321,4017,1782,184,9886,501,8797,"Nanuet CDP, New York",36,49407,2022,acs/acs5,2025-10-13T11:21:10.433006
843,375,468,,746,0,0,99,447,389,58,157000,,78125,43747,39,443,443,433,10,19,45,0,419,10,391,"Napanoch CDP, New York",36,49418,2022,acs/acs5,2025-10-13T11:21:10.433015
154,77,77,,128,0,0,48,543,60,483,,,80865,29047,0,83,83,83,0,47,13,0,83,0,83,"Napeague CDP, New York",36,49424,2022,acs/acs5,2025-10-13T11:21:10.433025
976,430,546,,961,0,4,11,486,432,54,127700,725,47024,27643,189,511,511,505,6,76,90,4,502,0,484,"Naples village, New York",36,49429,2022,acs/acs5,2025-10-13T11:21:10.433035
378,154,224,,326,32,20,0,306,223,83,227100,736,52656,58994,8,226,226,182,44,119,21,2,174,3,54,"Narrowsburg CDP, New York",36,49473,2022,acs/acs5,2025-10-13T11:21:10.433045
1169,588,581,,1067,0,0,28,526,469,57,204200,872,74931,36351,79,672,667,591,76,127,82,5,563,0,491,"Nassau village, New York",36,49506,2022,acs/acs5,2025-10-13T11:21:10.433054
840,395,445,,773,15,15,0,417,391,26,219600,,118005,47691,46,486,486,481,5,148,43,0,481,0,410,"Nassau Lake CDP, New York",36,49555,2022,acs/acs5,2025-10-13T11:21:10.433063
179,142,37,,179,0,0,0,67,67,0,100400,,,26303,0,141,141,141,0,0,0,0,141,0,141,"Natural Bridge CDP, New York",36,49605,2022,acs/acs5,2025-10-13T11:21:10.433073
1229,454,775,,990,101,102,49,0,0,0,,,,5340,29,595,595,581,14,0,29,0,542,8,471,"Nazareth College CDP, New York",36,49715,2022,acs/acs5,2025-10-13T11:21:10.433084
2251,1080,1171,,1580,277,31,75,954,915,39,105700,1125,76458,36183,167,1181,1181,1135,46,184,81,0,1102,7,1025,"Nedrow CDP, New York",36,49726,2022,acs/acs5,2025-10-13T11:21:10.433093
693,298,395,,606,0,3,32,458,375,83,48400,590,38264,27505,127,280,280,264,16,53,37,0,264,0,244,"Nelliston village, New York",36,49748,2022,acs/acs5,2025-10-13T11:21:10.433103
674,368,306,,583,0,16,27,279,251,28,580000,1844,127292,63050,42,371,371,349,22,149,98,17,343,49,278,"Nelsonville village, New York",36,49781,2022,acs/acs5,2025-10-13T11:21:10.433112
13549,7200,6349,,11535,238,871,1735,4662,4572,90,615400,2929,141754,57986,807,7189,7189,7066,123,2679,1464,126,7030,387,6157,"Nesconset CDP, New York",36,49825,2022,acs/acs5,2025-10-13T11:21:10.433122
9076,4627,4449,,7316,445,77,1202,4080,3780,300,116100,940,56142,28132,1243,4173,4173,4046,127,710,446,0,3793,6,3628,"Newark village, New York",36,49891,2022,acs/acs5,2025-10-13T11:21:10.433135
1080,511,569,,1003,0,31,26,426,403,23,114300,800,75104,29713,75,498,498,475,23,119,66,0,475,7,457,"Newark Valley village, New York",36,49902,2022,acs/acs5,2025-10-13T11:21:10.433145
466,242,224,,466,0,0,104,216,155,61,322700,,,32753,4,187,187,187,0,47,87,0,187,0,142,"New Baltimore CDP, New York",36,49924,2022,acs/acs5,2025-10-13T11:21:10.433155
805,363,442,,780,0,5,47,504,351,153,94400,295,57072,30967,121,335,335,325,10,56,76,4,316,0,257,"New Berlin village, New York",36,49946,2022,acs/acs5,2025-10-13T11:21:10.433164
28751,13568,15183,,9516,7390,201,13989,12006,10505,1501,190800,1293,48555,27253,7415,13837,13837,12761,1076,2413,935,87,12398,702,11573,"Newburgh city, New York",36,50034,2022,acs/acs5,2025-10-13T11:21:10.433176
15127,7414,7713,,3192,5186,243,8422,3475,3341,134,479600,2088,112569,29868,1608,7945,7945,7700,245,977,461,26,7587,444,7371,"New Cassel CDP, New York",36,50067,2022,acs/acs5,2025-10-13T11:21:10.433185
33837,16445,17392,,22375,2383,4705,5058,10895,10523,372,596900,2072,168672,61573,1283,17958,17958,16667,1291,8054,4487,445,16403,828,14072,"New City CDP, New York",36,50100,2022,acs/acs5,2025-10-13T11:21:10.433195
3234,1511,1723,,2990,27,9,9,1425,1366,59,128300,807,60769,29848,330,1382,1382,1315,67,243,379,0,1315,44,1092,"Newfane CDP, New York",36,50221,2022,acs/acs5,2025-10-13T11:21:10.433204
1142,483,659,,1142,0,0,0,501,450,51,148800,1270,91404,38502,51,779,779,779,0,72,83,38,764,0,764,"Newfield CDP, New York",36,50243,2022,acs/acs5,2025-10-13T11:21:10.433214
1329,687,642,,1084,98,66,170,449,449,0,341000,,118795,47918,68,692,692,675,17,174,197,0,653,11,421,"New Hackensack CDP, New York",36,50265,2022,acs/acs5,2025-10-13T11:21:10.433223
921,456,465,,887,16,0,18,347,347,0,299400,,130387,60768,145,386,386,367,19,187,48,0,367,9,297,"New Hamburg CDP, New York",36,50276,2022,acs/acs5,2025-10-13T11:21:10.433233
1891,839,1052,,1653,28,104,134,1012,919,93,190000,1400,77625,47512,163,864,864,842,22,401,276,52,829,5,714,"New Hartford village, New York",36,50298,2022,acs/acs5,2025-10-13T11:21:10.433245
5449,2714,2735,,3765,468,491,791,1609,1475,134,665400,2389,119875,37747,157,2401,2377,2213,164,869,476,87,2237,176,2026,"New Hempstead village, New York",36,50353,2022,acs/acs5,2025-10-13T11:21:10.433255
10235,5254,4981,,5264,111,2918,1956,3375,3290,85,695100,1658,144375,60050,385,5853,5853,5601,252,2125,996,166,5555,858,4807,"New Hyde Park village, New York",36,50397,2022,acs/acs5,2025-10-13T11:21:10.433265
7732,2933,4799,,5655,674,439,1129,2361,2221,140,332600,1588,59779,22763,1880,3513,3513,3191,322,844,585,94,3015,45,2662,"New Paltz village, New York",36,50551,2022,acs/acs5,2025-10-13T11:21:10.433275
464,210,254,,434,0,0,0,265,205,60,137500,,80809,42537,38,242,242,214,28,25,29,0,214,0,200,"Newport village, New York",36,50573,2022,acs/acs5,2025-10-13T11:21:10.433300
80828,39247,41581,,40535,15578,4794,25087,31098,29905,1193,637000,1763,100542,62145,8264,43418,43401,40354,3047,11521,9202,1079,39539,7088,33926,"New Rochelle city, New York",36,50617,2022,acs/acs5,2025-10-13T11:21:10.433310
9578,4814,4764,,9428,0,35,36,1799,1766,33,562500,1531,27488,10232,6110,2816,2816,2587,229,38,32,0,2539,76,2392,"New Square village, New York",36,50705,2022,acs/acs5,2025-10-13T11:21:10.433320
305,154,151,,268,0,3,30,303,145,158,1009600,2250,106042,63796,21,127,127,127,0,113,32,3,123,31,100,"New Suffolk CDP, New York",36,50727,2022,acs/acs5,2025-10-13T11:21:10.433332
8788,4173,4615,,5946,1149,241,2414,3624,3366,258,303900,1439,82120,41043,913,4868,4817,4302,515,1136,720,41,4281,220,3910,"New Windsor CDP, New York",36,50837,2022,acs/acs5,2025-10-13T11:21:10.433342
8622467,4148719,4473748,,3230647,1992200,1247994,2503005,3620774,3282804,337970,732100,1714,76607,48066,1459608,4448834,4445502,4108682,336820,1423801,736281,101196,3991760,1888814,3470965,"New York city, New York",36,51000,2022,acs/acs5,2025-10-13T11:21:10.433352
3084,1427,1657,,3043,2,27,53,1846,1636,210,151400,807,55000,36948,353,1540,1540,1540,0,510,356,0,1487,62,1391,"New York Mills village, New York",36,51011,2022,acs/acs5,2025-10-13T11:21:10.433363
48502,23693,24809,,32343,8667,1045,3556,26141,22428,3713,94900,763,45932,29391,12046,22722,22715,20654,2061,4429,2521,160,20093,652,18806,"Niagara Falls city, New York",36,51055,2022,acs/acs5,2025-10-13T11:21:10.433373
1218,493,725,,719,184,45,151,0,0,0,,,,5896,0,429,429,420,9,0,0,0,420,0,420,"Niagara University CDP, New York",36,51088,2022,acs/acs5,2025-10-13T11:21:10.433382
661,317,344,,643,0,0,0,265,248,17,133500,731,65625,30127,29,306,306,303,3,45,35,0,298,0,266,"Nichols village, New York",36,51110,2022,acs/acs5,2025-10-13T11:21:10.433394
20629,10022,10607,,16571,613,1825,856,8434,7921,513,306700,1466,125910,58180,529,10407,10387,10105,282,4141,3155,1047,9995,48,8287,"Niskayuna CDP, New York",36,51262,2022,acs/acs5,2025-10-13T11:21:10.433406
1523,798,725,,1188,82,72,147,604,545,59,1021100,2726,154250,100910,68,777,777,745,32,357,195,39,734,10,570,"Nissequogue village, New York",36,51286,2022,acs/acs5,2025-10-13T11:21:10.433416
1463,685,778,,1403,0,0,0,847,512,335,279900,2058,96607,66130,151,777,777,675,102,220,153,0,643,0,541,"Niverville CDP, New York",36,51297,2022,acs/acs5,2025-10-13T11:21:10.433426
869,388,481,,798,46,0,13,503,420,83,90100,836,49071,27210,86,358,358,337,21,12,32,0,337,0,329,"Norfolk CDP, New York",36,51319,2022,acs/acs5,2025-10-13T11:21:10.433436
20336,9524,10812,,3408,10518,115,6643,5879,5679,200,408000,2050,94056,39430,1696,12197,12151,11600,551,2065,1270,37,11411,825,10432,"North Amityville CDP, New York",36,51396,2022,acs/acs5,2025-10-13T11:21:10.433445
1405,654,751,,136,971,1,297,510,391,119,,1883,74856,27820,46,520,520,484,36,244,0,0,484,0,351,"Northampton CDP, New York",36,51418,2022,acs/acs5,2025-10-13T11:21:10.433455
18393,9291,9102,,12202,2461,1012,3145,6093,5799,294,447500,2175,126377,45832,631,10078,10078,9673,405,2684,1191,122,9548,481,8876,"North Babylon CDP, New York",36,51440,2022,acs/acs5,2025-10-13T11:21:10.433464
1283,607,676,,1205,11,0,38,670,631,39,213200,983,79894,45726,31,604,604,558,46,112,178,0,534,0,475,"North Ballston Spa CDP, New York",36,51467,2022,acs/acs5,2025-10-13T11:21:10.433476
153,27,126,,118,0,0,35,193,75,118,,,,29176,0,59,59,59,0,54,0,0,59,0,32,"North Bay CDP, New York",36,51484,2022,acs/acs5,2025-10-13T11:21:10.433486
18392,8962,9430,,7197,2142,938,11244,4731,4401,330,393400,1422,104004,29926,2204,10297,10297,9779,518,1241,508,0,9526,527,9324,"North Bay Shore CDP, New York",36,51495,2022,acs/acs5,2025-10-13T11:21:10.433496
21070,11127,9943,,16722,803,1386,2559,6686,6548,138,616000,2559,172316,68347,586,11205,11205,10832,373,4274,2545,186,10593,1202,9054,"North Bellmore CDP, New York",36,51517,2022,acs/acs5,2025-10-13T11:21:10.433506
10530,5176,5354,,5795,2439,168,4189,3534,3253,281,355500,2717,89026,33002,1661,5583,5583,5145,438,775,369,16,5064,60,4793,"North Bellport CDP, New York",36,51528,2022,acs/acs5,2025-10-13T11:21:10.433515
79,33,46,,79,0,0,0,28,26,2,85700,,,45114,0,51,51,42,9,7,4,0,42,0,40,"North Blenheim CDP, New York",36,51561,2022,acs/acs5,2025-10-13T11:21:10.433525
2554,1282,1272,,2340,0,17,36,1324,1315,9,204200,1302,56840,39925,207,1455,1455,1320,135,394,65,45,1320,0,1206,"North Boston CDP, New York",36,51583,2022,acs/acs5,2025-10-13T11:21:10.433535
1204,594,610,,1097,18,0,38,573,523,50,120700,689,49028,26818,200,597,597,531,66,98,38,0,508,0,476,"North Collins village, New York",36,51792,2022,acs/acs5,2025-10-13T11:21:10.433544
546,249,297,,520,11,9,0,313,235,78,178900,850,51336,32848,91,194,194,174,20,54,32,0,174,0,167,"North Creek CDP, New York",36,51847,2022,acs/acs5,2025-10-13T11:21:10.433554
2627,1243,1384,,2072,82,345,95,1256,1169,87,334700,1553,94306,53564,163,1453,1453,1410,43,697,427,466,1387,106,886,"Northeast Ithaca CDP, New York",36,51915,2022,acs/acs5,2025-10-13T11:21:10.433566
10138,5156,4982,,7118,1729,518,754,4722,4338,384,140000,1011,70482,35789,632,5778,5778,5605,173,1261,653,101,5526,51,4986,"North Gates CDP, New York",36,52040,2022,acs/acs5,2025-10-13T11:21:10.433575
605,348,257,,605,0,0,0,239,202,37,123700,,97679,34124,24,339,339,339,0,12,4,0,339,0,339,"North Granville CDP, New York",36,52067,2022,acs/acs5,2025-10-13T11:21:10.433585
3680,1911,1769,,2697,93,71,739,1345,1295,50,461500,2301,144246,61105,103,2025,2025,1994,31,586,280,44,1946,55,1792,"North Great River CDP, New York",36,52078,2022,acs/acs5,2025-10-13T11:21:10.433594
913,465,448,,851,0,11,20,815,425,390,1400000,,151250,177262,45,460,460,448,12,206,194,9,434,49,329,"North Haven village, New York",36,52188,2022,acs/acs5,2025-10-13T11:21:10.433604
5425,2395,3030,,3683,53,1630,376,2572,2319,253,1254200,3501,182401,125639,178,2519,2519,2472,47,1538,1220,144,2243,288,1909,"North Hills village, New York",36,53022,2022,acs/acs5,2025-10-13T11:21:10.433613
1152,473,679,,1091,17,14,23,518,497,21,146400,640,75625,43309,128,529,529,441,88,143,182,9,412,0,371,"North Hornell village, New York",36,53055,2022,acs/acs5,2025-10-13T11:21:10.433623
11155,5628,5527,,8193,917,331,2877,3877,3745,132,434000,1782,118177,45254,842,6635,6635,6401,234,1367,500,0,6141,212,5785,"North Lindenhurst CDP, New York",36,53198,2022,acs/acs5,2025-10-13T11:21:10.433641
470,237,233,,325,63,30,73,172,172,0,595600,,,39794,8,252,252,252,0,51,30,7,207,42,160,"North Lynbrook CDP, New York",36,53231,2022,acs/acs5,2025-10-13T11:21:10.433656
18198,8760,9438,,16590,17,363,1509,6460,6330,130,586700,2223,134666,55586,927,10456,10456,10152,304,3601,1964,118,10038,825,8845,"North Massapequa CDP, New York",36,53253,2022,acs/acs5,2025-10-13T11:21:10.433666
